"crime_id","report_number","address","offense_description","offense_category","state_offense_code","arrest_charge","charge_description","incident_timestamp","incident_time","day_of_week","hour_of_day","year","scout_car_area","precinct","block_id","neighborhood","council_district","zip_code","longitude","latitude","oid","Geometry"
"3000342","1612070201","Sawyer St & Minock St","LARCENY - THEFT FROM BUILDING","LARCENY","2303","23003","LARCENY - THEFT FROM BUILDING","12/07/2016 16:40:00","11:40:00","3","11","2016","0610","06","261635459003002","Warrendale","7","48228","-83.2318716455158","42.3468539687961","375","POINT (-83.23187164599995 42.34685396900005)"
"3000343","1612070175","Stout St & Plymouth Rd","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","12/05/2016 19:15:00","14:15:00","1","14","2016","0603","06","261635464001010","Weatherby","7","48228","-83.2400070065294","42.3718778524571","376","POINT (-83.24000700699997 42.37187785200007)"
"3000350","1612070138","Winthrop St & Elmira St","FRAUD - IMPERSONATION","FRAUD","2603","26003","FRAUD - IMPERSONATION","08/16/2013 21:00:00","17:00:00","5","17","2013","0608","06","261635452001000","Joy Community","7","48227","-83.1986614185666","42.3701943273984","377","POINT (-83.19866141899996 42.370194327000036)"
"3000357","1612070227","Hubbell St & W Outer Dr","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/07/2016 21:54:00","16:54:00","3","16","2016","1206","12","261635395003008","Winship","2","48235","-83.1896535592135","42.4199496559163","378","POINT (-83.18965355899996 42.41994965600003)"
"3000363","1612070259","Charlotte St & 3rd St","VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)","DANGEROUS DRUGS","3501","35001","VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)","12/07/2016 10:00:00","05:00:00","3","5","2016","0311","03","261635225001008","Midtown","6","48201","-83.063755890304","42.3416361913425","379","POINT (-83.06375588999998 42.34163619100008)"
"3000367","1612070261","14th St & Longfellow St","FRAUD - FALSE PRETENSE / SWINDLE / CONFIDENCE GAME","FRAUD","2601","26001","FRAUD - FALSE PRETENSE / SWINDLE / CONFIDENCE GAME","10/03/2016 23:00:00","19:00:00","1","19","2016","1005","10","261635312002005","Boston Edison","5","48206","-83.1046159701943","42.377751218632","380","POINT (-83.10461596999994 42.37775121900006)"
"3000368","1612070173","Saint Louis St & Emery St","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/08/2016 01:17:00","20:17:00","3","20","2016","1104","11","261635066004006","Farwell","3","48234","-83.0403035303567","42.4356847642973","381","POINT (-83.04030352999996 42.43568476400003)"
"3000368","1612070173","Saint Louis St & Emery St","ASSAULT AND BATTERY/SIMPLE ASSAULT","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/08/2016 01:17:00","20:17:00","3","20","2016","1104","11","261635066004006","Farwell","3","48234","-83.0403035303567","42.4356847642973","382","POINT (-83.04030352999996 42.43568476400003)"
"3000384","1612070269","Cloverlawn St & Joy Rd","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/03/2016 23:35:00","18:35:00","6","18","2016","0209","02","261635347004030","Barton-McFarland","7","48204","-83.1507852820009","42.3591062275006","383","POINT (-83.15078528199996 42.35910622800003)"
"3000413","1612070298","Rutland St & Westfield St","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/08/2016 05:28:00","00:28:00","4","0","2016","0608","06","261635453002013","Joy Community","7","48228","-83.2130019443888","42.3632756963178","384","POINT (-83.21300194399998 42.36327569600007)"
